区域,省份,编码,燃油类型,车型,车长,适用范围,计价方式,计费模式,阶梯起始,阶梯结束,费率,起步价,保底价,封顶价
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,300,500,0.14,0,150.0,500.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,10,20,0.85,0,90.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,0,10,9.0,9,140.0,430.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,10,20,0.85,0,170.0,550.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,100,200,0.2,0,90.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,10,20,0.85,0,95.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,300,500,0.12,0,70.0,270.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,500,9999,0.1,0,140.0,430.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,10,20,0.83,0,140.0,430.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,500,9999,0.11,0,170.0,550.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,100,200,0.5,0,95.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,30,50,0.48,0,140.0,430.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,10,20,0.83,0,70.0,270.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,20,30,0.8,0,95.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,20,30,0.75,0,150.0,500.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,10,20,0.85,0,150.0,500.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,500,9999,0.11,0,150.0,500.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,20,30,0.73,0,140.0,430.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,50,100,0.28,0,140.0,430.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,0,10,10.0,10,90.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,100,200,0.2,0,150.0,500.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,2.7,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,100,200,0.2,0,70.0,290.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,100,200,0.5,0,170.0,550.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,30,50,0.7,0,170.0,550.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,300,500,0.12,0,140.0,430.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,0,10,10.0,10,95.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,200,300,0.13,0,70.0,270.0
津冀辽取派中心,辽宁分区,HT-202510-0768,电动,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,100,200,0.18,0,70.0,270.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,厢式车,4.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,200,300,0.15,0,150.0,500.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,面包车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,500,9999,0.11,0,90.0,300.0
津冀辽取派中心,辽宁分区,HT-202510-0768,燃油,低栏车,3.2,"锦州白塔点部,锦州盘锦点部,锦州朝阳点部,锦州阜新点部",按重量,累加,50,100,0.6,0,95.0,300.0
