区域,省份,编码,燃油类型,车型,车长,适用范围,计价方式,计费模式,阶梯起始,阶梯结束,费率,起步价,保底价,封顶价
京鲁取派中心,京平分区,HT-202601-1016,电动,厢式车,4.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,300,400,0.5,0,198.0,900.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,面包车,1.8,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,30,50,0.9,0,150.0,350.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,厢式车,4.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,0,20,220.0,220,220.0,1000.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,厢式车,9.6,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,20,50,7.0,0,550.0,1100.0
京鲁取派中心,京平分区,HT-202601-1016,电动,面包车,2.7,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,500,9999,0.41,0,150.0,430.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,面包车,3.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,100,9999,2.5,0,200.0,500.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,厢式车,7.6,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,100,9999,5.5,0,550.0,1100.0
京鲁取派中心,京平分区,HT-202601-1016,电动,厢式车,4.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,20,50,3.6,0,198.0,900.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,面包车,2.7,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,200,300,0.65,0,180.0,450.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,面包车,3.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,0,20,200.0,200,200.0,500.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,面包车,1.8,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,20,50,3.5,0,150.0,350.0
京鲁取派中心,京平分区,HT-202601-1016,电动,厢式车,4.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,400,500,0.45,0,198.0,900.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,厢式车,7.6,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,50,100,6.5,0,550.0,1100.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,厢式车,7.6,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,400,500,0.5,0,550.0,1100.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,厢式车,9.6,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,0,20,550.0,550,550.0,1100.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,厢式车,7.6,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,200,300,0.65,0,550.0,1100.0
京鲁取派中心,京平分区,HT-202601-1016,电动,面包车,2.7,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,0,20,150.0,150,150.0,430.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,面包车,1.8,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,400,500,0.5,0,150.0,350.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,面包车,2.7,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,20,50,3.5,0,180.0,450.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,面包车,2.7,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,10,30,1.2,0,180.0,450.0
京鲁取派中心,京平分区,HT-202601-1016,电动,面包车,3.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,50,100,0.72,0,135.0,405.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,面包车,2.7,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按公里,累加,50,100,3.0,0,180.0,450.0
京鲁取派中心,京平分区,HT-202601-1016,电动,面包车,3.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,0,10,8.0,8,135.0,405.0
京鲁取派中心,京平分区,HT-202601-1016,电动,面包车,3.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,300,400,0.5,0,135.0,405.0
京鲁取派中心,京平分区,HT-202601-1016,电动,厢式车,4.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,100,200,0.63,0,198.0,900.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,厢式车,4.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,200,300,0.65,0,220.0,1000.0
京鲁取派中心,京平分区,HT-202601-1016,电动,面包车,2.7,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,10,30,1.08,0,150.0,430.0
京鲁取派中心,京平分区,HT-202601-1016,电动,面包车,3.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,400,500,0.45,0,135.0,405.0
京鲁取派中心,京平分区,HT-202601-1016,电动,面包车,3.2,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,100,200,0.63,0,135.0,405.0
京鲁取派中心,京平分区,HT-202601-1016,燃油,面包车,1.8,"顺义北苑点部,顺义望京点部,三里屯取派部,顺义顺承点部",按重量,累加,50,100,0.8,0,150.0,350.0
苏北取派中心,扬泰分区,HT-202510-0525,电动,面包车,2.7,"丹北取派部,扬中取派部",按公里,累加,50,9999,3.0,0,50.0,300.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,10,30,25.0,25,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,0,10,9.0,9,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按公里,累加,0,20,45.0,45,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按公里,累加,0,20,100.0,100,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按公里,累加,20,50,4.5,0,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按公里,累加,20,50,3.0,0,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,100,300,67.0,67,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按公里,累加,50,9999,4.3,0,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,300,500,100.0,100,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,500,1000,108.0,108,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,0,10,10.0,10,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,10,30,20.0,20,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,30,50,40.0,40,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,1500,9999,0.13,0,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,50,100,50.0,50,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,50,100,58.0,58,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,1000,1500,125.0,125,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,100,300,75.0,75,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,1500,9999,0.14,0,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按公里,累加,50,9999,2.8,0,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,1000,1500,145.0,145,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,30,50,45.0,45,100.0,400.0
苏北取派中心,扬泰分区,HT-202609-0114,电动,面包车,2.7,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,300,500,90.0,90,45.0,270.0
苏北取派中心,扬泰分区,HT-202609-0114,燃油,厢式车,4.2,"丹北取派部,润州取派部,丹阳取派部,扬中取派部",按重量,匹配,500,1000,120.0,120,100.0,400.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,1.8,六安取派部,按公里,累加,15,50,2.3,0,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按公里,累加,50,9999,2.3,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按公里,累加,15,50,2.3,0,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,2.7,六安取派部,按公里,累加,15,50,2.3,0,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,3.2,六安取派部,按公里,累加,15,50,2.3,0,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,3.2,六安取派部,按公里,累加,0,15,50.0,50,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按公里,累加,0,15,50.0,50,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,2.7,六安取派部,按公里,累加,0,15,50.0,50,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按公里,累加,50,9999,3.8,0,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,3.2,六安取派部,按公里,累加,15,50,2.3,0,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按公里,累加,50,9999,2.2,0,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,2.7,六安取派部,按公里,累加,0,15,45.0,45,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,3.2,六安取派部,按公里,累加,50,9999,2.1,0,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按公里,累加,0,15,45.0,45,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,2.7,六安取派部,按公里,累加,50,9999,2.2,0,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按公里,累加,15,50,2.3,0,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按公里,累加,0,15,45.0,45,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按公里,累加,0,15,100.0,100,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,3.2,六安取派部,按公里,累加,0,15,50.0,50,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,4.2,六安取派部,按公里,累加,0,15,95.0,95,100.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按公里,累加,50,9999,2.3,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按公里,累加,15,50,4.0,0,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,依维柯,2.7,六安取派部,按公里,累加,50,9999,2.3,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按公里,累加,50,9999,2.2,0,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,4.2,六安取派部,按公里,累加,50,9999,3.6,0,100.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按公里,累加,15,50,2.4,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,4.2,六安取派部,按公里,累加,15,50,3.8,0,100.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,依维柯,2.7,六安取派部,按公里,累加,0,15,50.0,50,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,3.2,六安取派部,按公里,累加,0,15,50.0,50,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按公里,累加,0,15,50.0,50,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按公里,累加,15,50,2.4,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,3.2,六安取派部,按公里,累加,15,50,2.3,0,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,3.2,六安取派部,按公里,累加,50,9999,2.1,0,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,3.2,六安取派部,按公里,累加,50,9999,2.1,0,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,依维柯,2.7,六安取派部,按公里,累加,15,50,2.4,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,1.8,六安取派部,按公里,累加,50,9999,2.2,0,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,2.7,六安取派部,按公里,累加,15,50,2.4,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,2.7,六安取派部,按公里,累加,50,9999,2.3,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,1.8,六安取派部,按公里,累加,0,15,45.0,45,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按重量,匹配,300,500,90.0,90,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,3.2,六安取派部,按重量,匹配,300,500,85.0,85,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,依维柯,2.7,六安取派部,按重量,匹配,10,30,20.0,20,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,3.2,六安取派部,按重量,匹配,150,300,65.0,65,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按重量,匹配,50,80,35.0,35,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,3.2,六安取派部,按重量,匹配,300,500,85.0,85,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按重量,匹配,50,80,40.0,40,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按重量,匹配,500,800,90.0,90,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按重量,匹配,0,10,10.0,10,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,2.7,六安取派部,按重量,匹配,300,500,85.0,85,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按重量,匹配,800,1000,120.0,120,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,依维柯,2.7,六安取派部,按重量,匹配,300,500,90.0,90,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按重量,匹配,800,1000,115.0,115,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,依维柯,2.7,六安取派部,按重量,匹配,50,80,40.0,40,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,3.2,六安取派部,按重量,匹配,30,50,27.0,27,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,2.7,六安取派部,按重量,匹配,300,500,90.0,90,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,3.2,六安取派部,按重量,匹配,10,30,18.0,18,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,依维柯,2.7,六安取派部,按重量,匹配,800,1000,120.0,120,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,依维柯,2.7,六安取派部,按重量,匹配,0,10,10.0,10,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,3.2,六安取派部,按重量,匹配,80,100,45.0,45,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按重量,匹配,10,30,18.0,18,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按重量,匹配,10,30,20.0,20,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,3.2,六安取派部,按重量,匹配,800,1000,115.0,115,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,3.2,六安取派部,按重量,匹配,30,50,27.0,27,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,1.8,六安取派部,按重量,匹配,30,50,27.0,27,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,4.2,六安取派部,按重量,匹配,30,50,27.0,27,100.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按重量,匹配,30,50,30.0,30,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按重量,匹配,50,80,40.0,40,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按重量,匹配,800,1000,115.0,115,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按重量,匹配,1000,9999,0.13,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,2.7,六安取派部,按重量,匹配,1000,9999,0.13,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,4.2,六安取派部,按重量,匹配,300,500,85.0,85,100.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,3.2,六安取派部,按重量,匹配,150,300,65.0,65,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按重量,匹配,50,80,35.0,35,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,2.7,六安取派部,按重量,匹配,500,800,100.0,100,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按重量,匹配,150,300,70.0,70,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按重量,匹配,50,80,40.0,40,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,4.2,六安取派部,按重量,匹配,50,80,35.0,35,100.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,1.8,六安取派部,按重量,匹配,50,80,35.0,35,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按重量,匹配,100,150,55.0,55,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,2.7,六安取派部,按重量,匹配,500,800,90.0,90,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,2.7,六安取派部,按重量,匹配,150,300,65.0,65,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,1.8,六安取派部,按重量,匹配,300,500,85.0,85,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,3.2,六安取派部,按重量,匹配,50,80,35.0,35,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按重量,匹配,100,150,60.0,60,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,3.2,六安取派部,按重量,匹配,50,80,35.0,35,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,1.8,六安取派部,按重量,匹配,800,1000,115.0,115,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按重量,匹配,1000,9999,0.13,0,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按重量,匹配,150,300,70.0,70,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,3.2,六安取派部,按重量,匹配,500,800,90.0,90,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,2.7,六安取派部,按重量,匹配,800,1000,115.0,115,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按重量,匹配,300,500,90.0,90,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,3.2,六安取派部,按重量,匹配,800,1000,115.0,115,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按重量,匹配,10,30,20.0,20,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按重量,匹配,0,10,10.0,10,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按重量,匹配,800,1000,120.0,120,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按重量,匹配,80,100,45.0,45,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按重量,匹配,300,500,85.0,85,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按重量,匹配,100,150,55.0,55,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按重量,匹配,80,100,45.0,45,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,依维柯,2.7,六安取派部,按重量,匹配,500,800,100.0,100,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,2.7,六安取派部,按重量,匹配,30,50,27.0,27,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按重量,匹配,150,300,65.0,65,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,3.2,六安取派部,按重量,匹配,80,100,45.0,45,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,依维柯,2.7,六安取派部,按重量,匹配,30,50,30.0,30,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按重量,匹配,500,800,100.0,100,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,3.2,六安取派部,按重量,匹配,1000,9999,0.12,0,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,3.2,六安取派部,按重量,匹配,0,10,9.0,9,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,3.2,六安取派部,按重量,匹配,0,10,9.0,9,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按重量,匹配,100,150,60.0,60,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,3.2,六安取派部,按重量,匹配,800,1000,115.0,115,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,2.7,六安取派部,按重量,匹配,0,10,9.0,9,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按重量,匹配,30,50,30.0,30,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,2.7,六安取派部,按重量,匹配,800,1000,120.0,120,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按重量,匹配,150,300,65.0,65,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,3.2,六安取派部,按重量,匹配,300,500,85.0,85,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按重量,匹配,500,800,100.0,100,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按重量,匹配,10,30,20.0,20,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按重量,匹配,300,500,85.0,85,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按重量,匹配,30,50,30.0,30,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,4.2,六安取派部,按重量,匹配,500,800,100.0,100,105.0,350.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按重量,匹配,0,10,10.0,10,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,2.7,六安取派部,按重量,匹配,0,10,10.0,10,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,面包车,2.7,六安取派部,按重量,匹配,0,10,9.0,9,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按重量,匹配,0,10,9.0,9,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,厢式车,2.7,六安取派部,按重量,匹配,50,80,40.0,40,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按重量,匹配,80,100,50.0,50,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,2.7,六安取派部,按重量,匹配,10,30,18.0,18,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,电动,依维柯,3.2,六安取派部,按重量,匹配,80,100,45.0,45,50.0,280.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,1.8,六安取派部,按重量,匹配,800,1000,120.0,120,50.0,300.0
安徽取派中心,皖中分区,HT-202403-0743,电动,厢式车,2.7,六安取派部,按重量,匹配,80,100,45.0,45,45.0,260.0
安徽取派中心,皖中分区,HT-202403-0743,燃油,面包车,2.7,六安取派部,按重量,匹配,80,100,50.0,50,50.0,300.0
